DETAILED TRIAL RESULTS - bayesian_tuning
==================================================
Objective: Minimize Averge Energy 

Trial  | Time(s)  | Avg Energy  | Perplexity  | Combined Loss | n_embed | block_size | heads | blocks | T   | LR    | Warmup | Dropout | Bias 
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0      | 32.7     | 4.158092    | 1196.6373   | 5.622681    | 304     | 464        | 8     | 3      | 6   |3.85e-05 | 670    | 0.060   | False
3      | 114.6    | nan         | inf         | nan         | 416     | 480        | 26    | 4      | 7   |9.35e-03 | 265    | 0.140   | False
5      | 122.8    | 7.039281    | 1201.6821   | 7.065379    | 304     | 384        | 19    | 3      | 10  |1.30e-05 | 722    | 0.366   | True 
7      | 13.4     | 4.508646    | 808.4541    | 5.601885    | 160     | 144        | 5     | 1      | 7   |1.58e-03 | 465    | 0.201   | True 
9      | 80.5     | 4.324793    | 1128.1979   | 5.676585    | 80      | 432        | 2     | 11     | 6   |7.55e-04 | 898    | 0.178   | True 
10     | 75.4     | 2.817345    | 511.8649    | 4.527703    | 176     | 288        | 22    | 7      | 4   |2.62e-03 | 85     | 0.096   | False
13     | 96.9     | 1.679522    | 302.9914    | 3.696613    | 512     | 224        | 32    | 10     | 2   |8.76e-03 | 57     | 0.009   | False
15     | 113.6    | 1.648399    | 306.0475    | 3.686070    | 496     | 64         | 31    | 12     | 2   |9.41e-03 | 52     | 0.491   | False
16     | 116.6    | 1.665997    | 295.1624    | 3.676761    | 512     | 64         | 32    | 12     | 2   |9.61e-03 | 59     | 0.469   | False
19     | 111.1    | 2.283102    | 1131.7275   | 4.657301    | 416     | 64         | 32    | 8      | 3   |1.40e-04 | 169    | 0.395   | False
21     | 631.1    | 9.984067    | 1004.9483   | 8.448379    | 400     | 208        | 25    | 9      | 14  |2.38e-04 | 1833   | 0.318   | True 
23     | 69.1     | 2.327421    | 1177.6620   | 4.699354    | 384     | 352        | 32    | 5      | 3   |7.23e-05 | 188    | 0.493   | False
25     | 84.1     | 2.181918    | 973.8042    | 4.531564    | 256     | 144        | 8     | 12     | 3   |6.53e-04 | 135    | 0.298   | False
27     | 19.8     | 1.711714    | 735.5256    | 4.156150    | 464     | 304        | 4     | 6      | 2   |3.45e-03 | 313    | 0.428   | True 
29     | 119.6    | 2.873269    | 857.0307    | 4.813372    | 240     | 512        | 20    | 9      | 4   |6.41e-04 | 97     | 0.234   | False
31     | 73.4     | 2.255341    | 499.9498    | 4.234924    | 352     | 128        | 8     | 10     | 3   |4.10e-03 | 285    | 0.139   | False
32     | 13.5     | 1.494932    | 1212.0406   | 4.297496    | 64      | 224        | 2     | 5      | 2   |1.02e-05 | 1783   | 0.282   | True 
35     | 84.6     | 1.645480    | 310.7790    | 3.692281    | 496     | 64         | 16    | 12     | 2   |8.94e-03 | 52     | 0.494   | False
37     | 158.7    | 3.037640    | 329.4012    | 4.417458    | 448     | 96         | 16    | 12     | 4   |1.46e-03 | 84     | 0.440   | False
39     | 71.9     | 1.657434    | 351.2028    | 3.759399    | 512     | 176        | 16    | 10     | 2   |5.59e-03 | 50     | 0.356   | False
41     | 110.0    | 2.322668    | 513.9295    | 4.282377    | 448     | 96         | 14    | 11     | 3   |1.60e-03 | 122    | 0.447   | False
43     | 110.0    | nan         | inf         | nan         | 464     | 256        | 8     | 8      | 5   |8.40e-03 | 229    | 0.407   | False
44     | 150.3    | nan         | inf         | nan         | 352     | 256        | 22    | 8      | 5   |9.17e-03 | 72     | 0.499   | False
47     | 156.0    | nan         | inf         | nan         | 368     | 272        | 8     | 8      | 8   |8.41e-03 | 66     | 0.494   | False
49     | 96.9     | nan         | inf         | nan         | 368     | 256        | 8     | 8      | 5   |7.76e-03 | 71     | 0.495   | False
51     | 127.8    | nan         | inf         | nan         | 352     | 272        | 22    | 7      | 5   |9.43e-03 | 74     | 0.396   | False
53     | 145.0    | nan         | inf         | nan         | 352     | 256        | 22    | 8      | 5   |9.61e-03 | 68     | 0.496   | False
55     | 143.3    | nan         | inf         | nan         | 352     | 288        | 22    | 8      | 5   |5.88e-03 | 227    | 0.497   | False
57     | 137.9    | nan         | inf         | nan         | 336     | 272        | 21    | 8      | 5   |9.98e-03 | 70     | 0.398   | False
59     | 121.0    | nan         | inf         | nan         | 336     | 272        | 21    | 7      | 5   |9.87e-03 | 72     | 0.499   | False
